round,group_id,sender,receiver,application-id,amount_send,asset_id_send,amount_received,asset_id_received
27410599,ryXvvLQtkAjWD1zsPBBAuEX3neEw+MMfythbRIkzmlU=,W2IZ3EHDRW2IQNPC33CI2CXSLMFCFICVKQVWIYLJWXCTD765RW47ONNCEY,SVZS7Q7QMVHZONDHZJHR4564VTMEX3OQ5DSYBWKR5FJFTPZLVG3EZIWC34,777628254,250000000,0,55407911,31566704
27410599,PnmbnulXsSZJSn5FkfXEwir2DBluzQGrD1mXH71NFp0=,W2IZ3EHDRW2IQNPC33CI2CXSLMFCFICVKQVWIYLJWXCTD765RW47ONNCEY,L747MOJV43QCLY4HSWVPL2A5SW62IBLA5XPTI5R4HO32WVAWOO5OBCEP3A,620995314,500000000,0,110812008,31566704
27410599,7gZkK/WedKKQPfTN5Ry8+HMhkICt4NehFCe9zydxQBk=,W2IZ3EHDRW2IQNPC33CI2CXSLMFCFICVKQVWIYLJWXCTD765RW47ONNCEY,2PIFZW53RHCSFSYMCFUBW4XOCXOMB7XOYQSQ6KGT3KVGJTL4HM6COZRNMM,1002541853,1000000000,0,221596458,31566704
27410600,pg8BHzR+K6qOjY+nyFT4qzXf2EbwtL/JGOv7Dv3swFU=,W2IZ3EHDRW2IQNPC33CI2CXSLMFCFICVKQVWIYLJWXCTD765RW47ONNCEY,UXCJORFWJBXMK46HDXRKRIA5546AWFIW4KSQ6TLCUGIK2M5RQWGS2TMDUQ,777639704,100000000,0,22158071,312769
27410600,tGkzzwSB9DJyIKnxS5/NdbWMimNdIy2ry/uDzXUkuO4=,EVESCVBC6VDIJAZM3HMUGYVQLKWHH4YJBMDV5EF65RMS67TFS5URZQ5YNY,UXCJORFWJBXMK46HDXRKRIA5546AWFIW4KSQ6TLCUGIK2M5RQWGS2TMDUQ,777639704,2269571,312769,10189705,0
27410600,rblmI1xpy3u14Fhrtr4UknmGPBOSP1r2f2WeJr2+t9g=,W2IZ3EHDRW2IQNPC33CI2CXSLMFCFICVKQVWIYLJWXCTD765RW47ONNCEY,UXCJORFWJBXMK46HDXRKRIA5546AWFIW4KSQ6TLCUGIK2M5RQWGS2TMDUQ,777639704,100000000,0,22121491,312769
27410622,v5yDFUSL41z+CnYbJpIGW/97cL4RKRJIaQeAE3Ap7KU=,AACCDJTFPQR5UQJZ337NFR56CC44T776EWBGVJG5NY2QFTQWBWTALTEN4A,P4Q56HG6LXLIOWMRHUNML27RO64KEWILT7JUKH42KPSJ5JRTG5Z26FY3ZI,621252819,1340634,0,3996,226265212
27410629,v04vaIYvBdb8u2Td6XsjMDAOyICIvUhY1HUZSO7rT0w=,AACCDJTFPQR5UQJZ337NFR56CC44T776EWBGVJG5NY2QFTQWBWTALTEN4A,HIRLFMYDXY62F563HBGH5VHHNZULHELHYE7Q6J5HKR7M7JJPSCEDCXFGJQ,639541260,358696,0,458033869,226701642
27410631,37EwRYxivfJzB4X7sSZS1xfgPQY8kaCavcP/Qz/sSFA=,WRT4ZGEXTINI6V477ATEVQZBLKG4P6ECZKV3USYL4XNARRAFITUALPHHPU,2PIFZW53RHCSFSYMCFUBW4XOCXOMB7XOYQSQ6KGT3KVGJTL4HM6COZRNMM,1002541853,1039018936,31566704,4662523244,0
27410631,BVjQfCI4mc33lRWroGTpZWdix5l5PXuI21vHUP7AEXI=,CSD7FIJEMGTI4Y53Q4CBCHQNMZ2DH27XROMVHXCL4KCG26AMANPAZDO7L4,2PIFZW53RHCSFSYMCFUBW4XOCXOMB7XOYQSQ6KGT3KVGJTL4HM6COZRNMM,1002541853,215045899,1002590888,103658915,31566704
