timestamp,Binance_ALGOUSDT,round,ALGOFI_ALGO_USDC_[ALGO],ALGOFI_ALGO_USDC_[USDC],ALGOFI_ALGO_USDT_[ALGO],ALGOFI_ALGO_USDT_[USDT],HUMBLESWAP_ALGO_USDC_[ALGO],HUMBLESWAP_ALGO_USDC_[USDC],HUMBLESWAP_ALGO_USDT_[ALGO],HUMBLESWAP_ALGO_USDT_[USDT],HUMBLESWAP_ALGO_goUSD_[ALGO],HUMBLESWAP_ALGO_goUSD_[goUSD],PACT_ALGO_USDC_[ALGO],PACT_ALGO_USDC_[USDC],PACT_ALGO_USDT_[ALGO],PACT_ALGO_USDT_[USDT],TINYMAN(v1.1)_ALGO_USDC_[ALGO],TINYMAN(v1.1)_ALGO_USDC_[USDC],TINYMAN(v1.1)_ALGO_USDT_[ALGO],TINYMAN(v1.1)_ALGO_USDT_[USDT],TINYMAN(v2)_ALGO_USDC_[ALGO],TINYMAN(v2)_ALGO_USDC_[USDC]
1682451138867,0.1829958565091401,28626334,811405.8829,148181.16646,30196.0766,5511.62115,3014147.91646,589613.08208,391547.03839,72112.70023,92640.72939,17926.73022,7845468.30375,1435459.21597,217.01642,39.10252,5526133.28123,1045801.08107,378554.43469,72182.53286,66519551.58182,12193054.27098
1682451143110,0.1829958565091401,28626335,811405.8829,148181.16646,30196.0766,5511.62115,3014147.91646,589613.08208,391547.03839,72112.70023,92640.72939,17926.73022,7845468.30375,1435459.21597,217.01642,39.10252,5526133.28123,1045801.08107,378554.43469,72182.53286,66519551.58182,12193054.27098
1682451150163,0.1829958565091401,28626337,811405.8829,148181.16646,30196.0766,5511.62115,3014147.91646,589613.08208,391547.03839,72112.70023,92640.72939,17926.73022,7845468.30375,1435459.21597,217.01642,39.10252,5526133.28123,1045801.08107,378554.43469,72182.53286,66519551.58182,12193054.27098
1682451168345,0.1829955584932638,28626342,811405.8829,148181.16646,30196.0766,5511.62115,3014147.91646,589613.08208,391547.03839,72112.70023,92640.72939,17926.73022,7845468.30375,1435459.21597,217.01642,39.10252,5526133.28123,1045801.08107,378554.43469,72182.53286,66524551.58182,12192142.19707
1682451176240,0.1829955584932638,28626344,811405.8829,148181.16646,30196.0766,5511.62115,3014147.91646,589613.08208,391547.03839,72112.70023,92640.72939,17926.73022,7845468.30375,1435459.21597,217.01642,39.10252,5526133.28123,1045801.08107,378554.43469,72182.53286,66524551.58182,12192142.19707
1682451182385,0.1829955584932638,28626346,811405.8829,148181.16646,30196.0766,5511.62115,3014147.91646,589613.08208,391547.03839,72112.70023,92640.72939,17926.73022,7845468.30375,1435459.21597,217.01642,39.10252,5526133.28123,1045801.08107,378554.43469,72182.53286,66524551.58182,12192142.19707
1682451190871,0.1829956280960211,28626348,811405.8829,148181.16646,30196.0766,5511.62115,3014147.91646,589613.08208,391547.03839,72112.70023,92640.72939,17926.73022,7845468.30375,1435459.21597,217.01642,39.10252,5526133.28123,1045801.08107,378554.43469,72182.53286,66524551.58182,12192142.19707
1682451198135,0.1829956280960211,28626350,811405.8829,148181.16646,30196.0766,5511.62115,3014147.91646,589613.08208,391547.03839,72112.70023,92640.72939,17926.73022,7845468.30375,1435459.21597,217.01642,39.10252,5526133.28123,1045801.08107,378554.43469,72182.53286,66524551.58182,12192142.19707
1682451220550,0.1829956280960211,28626356,811470.78592,148169.33607,30196.0766,5511.62115,3014147.91646,589613.08208,391547.03839,72112.70023,92640.72939,17926.73022,7845468.30375,1435459.21597,217.01642,39.10252,5526133.28123,1045801.08107,378554.43469,72182.53286,66524551.58182,12192142.19707
1682451256901,0.1830023789666410,28626366,811470.78592,148169.33607,30196.0766,5511.62115,3014172.64131,589608.57097,391547.03839,72112.70023,92640.72939,17926.73022,7845481.08752,1435456.88354,217.01642,39.10252,5526133.28123,1045801.08107,378554.43469,72182.53286,66524551.58182,12192142.19707
1682451272102,0.1830023789666410,28626370,811470.78592,148169.33607,30196.0766,5511.62115,3014172.64131,589608.57097,391547.03839,72112.70023,92640.72939,17926.73022,7845481.08752,1435456.88354,217.01642,39.10252,5526133.28123,1045801.08107,378554.43469,72182.53286,66524551.58182,12192142.19707
1682451278992,0.1830134825136981,28626372,811470.78592,148169.33607,30196.0766,5511.62115,3014172.64131,589608.57097,391547.03839,72112.70023,92640.72939,17926.73022,7845481.08752,1435456.88354,217.01642,39.10252,5526133.28123,1045801.08107,378554.43469,72182.53286,66524551.58182,12192142.19707
1682451293574,0.1830134825136981,28626376,811470.78592,148169.33607,30196.0766,5511.62115,3014172.64131,589608.57097,391547.03839,72112.70023,92640.72939,17926.73022,7845481.08752,1435456.88354,217.01642,39.10252,5526133.28123,1045801.08107,378554.43469,72182.53286,66524551.58182,12192142.19707
1682451297823,0.1830419464768344,28626377,811470.78592,148169.33607,30196.0766,5511.62115,3014172.64131,589608.57097,391547.03839,72112.70023,92640.72939,17926.73022,7845481.08752,1435456.88354,217.01642,39.10252,5526133.28123,1045801.08107,378554.43469,72182.53286,66524551.58182,12192142.19707
1682451311839,0.1830419464768344,28626381,811470.78592,148169.33607,30196.0766,5511.62115,3014172.64131,589608.57097,391547.03839,72112.70023,92640.72939,17926.73022,7845493.5833,1435454.60367,217.01642,39.10252,5526133.28123,1045801.08107,378554.43469,72182.53286,66524551.58182,12192142.19707
1682451316347,0.1830419464768344,28626382,811470.78592,148169.33607,30196.0766,5511.62115,3014172.64131,589608.57097,391547.03839,72112.70023,92640.72939,17926.73022,7845493.5833,1435454.60367,217.01642,39.10252,5526133.28123,1045801.08107,378554.43469,72182.53286,66524551.58182,12192142.19707
1682451330884,0.1830408641869633,28626386,811470.78592,148169.33607,30196.0766,5511.62115,3014172.64131,589608.57097,391547.03839,72112.70023,92640.72939,17926.73022,7845493.5833,1435454.60367,217.01642,39.10252,5526133.28123,1045801.08107,378554.43469,72182.53286,66524551.58182,12192142.19707
1682451335289,0.1830408641869633,28626387,811470.78592,148169.33607,30196.0766,5511.62115,3014172.64131,589608.57097,391547.03839,72112.70023,92640.72939,17926.73022,7845493.5833,1435454.60367,217.01642,39.10252,5526133.28123,1045801.08107,378554.43469,72182.53286,66524551.58182,12192142.19707
1682451356036,0.1830151611883852,28626393,811470.78592,148169.33607,30196.0766,5511.62115,3014172.64131,589608.57097,391547.03839,72112.70023,92640.72939,17926.73022,7845493.5833,1435454.60367,217.01642,39.10252,5526133.28123,1045801.08107,378554.43469,72182.53286,66524551.58182,12192142.19707
